f,psd
0.00176,5.25343604224296e-44
0.0017800000000000001,7.779453031411093e-44
0.0018000000000000002,6.974827465076559e-44
0.0018200000000000002,5.533236323153205e-44
0.00184,5.848224322904743e-44
0.00186,6.065341887637837e-44
0.0018800000000000002,6.656392165060215e-44
0.0019000000000000002,6.960185459901476e-44
0.0019200000000000003,6.879077460075808e-44
0.00194,7.503859110821197e-44
0.0019600000000000004,8.495397532773845e-44
0.00198,1.1757076527153578e-43
0.002,1.1502609083704812e-43
0.00202,9.441339629948813e-44
0.00204,8.777669867314093e-44
0.00206,9.61597408004818e-44
0.0020800000000000003,9.322428932431343e-44
0.0021000000000000003,1.0728514741319776e-43
0.0021200000000000004,1.1860106729627324e-43
0.00214,1.0632948648782933e-43
0.00216,9.882223507410116e-44
0.00218,1.0220197167574505e-43
0.0022,1.2833145613169627e-43
0.00222,1.0999418226415728e-43
0.0022400000000000002,1.3604439027146636e-43
0.0022600000000000003,1.537806040582816e-43
0.0022800000000000003,1.558765192673942e-43
0.0023000000000000004,1.6409004064377247e-43
0.00232,1.1513816160222581e-43
0.00234,1.340325781566119e-43
0.00236,1.5843666103121612e-43
0.00238,1.5673239997347595e-43
0.0024000000000000002,1.3143105396344638e-43
0.0024200000000000003,1.6775335496063772e-43
0.0024400000000000003,2.571198879413552e-43
0.0024600000000000004,2.3635338265055412e-43
0.00248,2.3017353545894673e-43
0.0025,2.101382215184025e-43
0.00252,2.819599369386678e-43
0.00254,2.7997823108279725e-43
0.00256,3.0716329042539974e-43
0.0025800000000000003,3.097014393351574e-43
0.0026000000000000003,3.185581231513625e-43
0.0026200000000000004,3.2346502642644393e-43
0.0026400000000000004,3.649502851384551e-43
0.00266,3.1099552096898004e-43
0.00268,2.7585931864662462e-43
0.0027,2.915141239658955e-43
0.00272,2.690898351544042e-43
0.0027400000000000002,3.317787245334759e-43
0.0027600000000000003,4.242569489013449e-43
0.0027800000000000004,4.175053266393508e-43
0.0028000000000000004,3.5619763094306516e-43
